,sEXT,sNEU,sAGR,sCON,sOPN,positive,negative,joy,sadness,fear,disgust,anticipation
80,2.65,3.0,3.15,3.25,4.4,3,2,3,1,1,1,1
81,2.65,3.0,3.15,3.25,4.4,4,0,2,0,0,0,1
82,2.65,3.0,3.15,3.25,4.4,1,0,0,0,0,0,0
83,2.65,3.0,3.15,3.25,4.4,0,1,0,1,1,0,0
84,2.65,3.0,3.15,3.25,4.4,0,1,0,0,0,0,1
85,2.65,3.0,3.15,3.25,4.4,0,1,0,0,0,0,0
86,2.65,3.0,3.15,3.25,4.4,1,1,0,1,0,0,0
87,2.65,3.0,3.15,3.25,4.4,3,3,0,0,1,0,0
88,2.65,3.0,3.15,3.25,4.4,2,0,2,0,0,0,0
89,2.65,3.0,3.15,3.25,4.4,3,0,2,0,0,0,1
90,2.65,3.0,3.15,3.25,4.4,2,2,2,2,1,1,2
91,2.65,3.0,3.15,3.25,4.4,1,3,0,2,2,1,1
92,2.65,3.0,3.15,3.25,4.4,3,2,0,1,1,0,1
93,2.65,3.0,3.15,3.25,4.4,1,1,1,0,0,0,0
94,2.65,3.0,3.15,3.25,4.4,1,1,0,0,1,1,0
95,2.65,3.0,3.15,3.25,4.4,0,1,0,0,0,0,1
96,2.65,3.0,3.15,3.25,4.4,2,3,2,3,3,2,1
97,2.65,3.0,3.15,3.25,4.4,2,0,1,0,0,0,1
98,2.65,3.0,3.15,3.25,4.4,2,0,2,0,1,0,0
99,2.65,3.0,3.15,3.25,4.4,1,0,1,0,0,0,0
100,2.65,3.0,3.15,3.25,4.4,1,1,0,0,0,0,1
101,2.65,3.0,3.15,3.25,4.4,1,1,1,2,2,1,0
102,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
103,4.5,4.0,3.0,4.5,3.75,0,1,0,0,0,1,0
104,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
105,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
106,4.5,4.0,3.0,4.5,3.75,1,0,0,0,0,0,0
107,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
108,4.5,4.0,3.0,4.5,3.75,1,1,1,1,0,0,0
109,4.5,4.0,3.0,4.5,3.75,1,0,0,0,0,0,0
110,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
111,4.5,4.0,3.0,4.5,3.75,1,0,0,0,0,0,0
112,4.5,4.0,3.0,4.5,3.75,2,1,1,1,0,0,1
113,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,1
114,4.5,4.0,3.0,4.5,3.75,0,1,0,1,1,0,0
115,4.5,4.0,3.0,4.5,3.75,1,0,0,0,0,0,0
116,4.5,4.0,3.0,4.5,3.75,0,1,0,1,0,0,0
117,4.5,4.0,3.0,4.5,3.75,2,0,2,0,0,0,0
118,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
119,4.5,4.0,3.0,4.5,3.75,1,1,0,1,1,0,0
120,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
121,4.5,4.0,3.0,4.5,3.75,2,2,1,1,1,0,1
122,4.5,4.0,3.0,4.5,3.75,1,0,1,0,0,0,0
123,4.5,4.0,3.0,4.5,3.75,2,2,2,3,0,0,0
124,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
125,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
126,4.5,4.0,3.0,4.5,3.75,3,1,0,0,0,1,0
127,4.5,4.0,3.0,4.5,3.75,1,0,1,0,0,1,2
128,4.5,4.0,3.0,4.5,3.75,0,1,0,0,0,0,0
129,4.5,4.0,3.0,4.5,3.75,2,2,2,2,1,2,1
130,4.5,4.0,3.0,4.5,3.75,2,1,1,0,0,1,0
131,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
132,4.5,4.0,3.0,4.5,3.75,1,0,0,0,0,0,0
133,4.5,4.0,3.0,4.5,3.75,2,0,1,0,0,0,1
134,4.5,4.0,3.0,4.5,3.75,1,2,1,2,0,0,0
135,4.5,4.0,3.0,4.5,3.75,3,6,2,3,2,4,1
136,4.5,4.0,3.0,4.5,3.75,2,0,0,0,0,0,0
137,4.5,4.0,3.0,4.5,3.75,1,2,0,2,1,2,0
138,4.5,4.0,3.0,4.5,3.75,3,0,2,0,0,0,2
139,4.5,4.0,3.0,4.5,3.75,1,0,1,0,0,0,0
140,4.5,4.0,3.0,4.5,3.75,4,1,3,1,1,1,1
141,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
142,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
143,4.5,4.0,3.0,4.5,3.75,2,3,1,2,1,1,2
144,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
145,4.5,4.0,3.0,4.5,3.75,2,1,1,0,0,1,0
146,4.5,4.0,3.0,4.5,3.75,3,1,2,0,0,0,1
147,4.5,4.0,3.0,4.5,3.75,3,2,0,2,1,1,0
148,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
149,4.5,4.0,3.0,4.5,3.75,1,3,0,1,2,2,0
150,4.5,4.0,3.0,4.5,3.75,2,1,0,2,1,0,0
151,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,1
152,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
153,4.5,4.0,3.0,4.5,3.75,2,1,2,0,0,0,1
154,4.5,4.0,3.0,4.5,3.75,1,1,1,0,0,0,0
155,4.5,4.0,3.0,4.5,3.75,1,0,1,0,0,0,0
156,4.5,4.0,3.0,4.5,3.75,9,2,3,1,2,1,5
157,4.5,4.0,3.0,4.5,3.75,0,1,0,1,0,0,0
158,4.5,4.0,3.0,4.5,3.75,1,0,1,0,0,0,0
159,4.5,4.0,3.0,4.5,3.75,3,4,0,2,1,0,2
160,4.5,4.0,3.0,4.5,3.75,7,0,6,0,0,0,1
161,4.5,4.0,3.0,4.5,3.75,1,0,1,0,1,0,1
162,4.5,4.0,3.0,4.5,3.75,1,1,1,1,0,0,0
163,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,0
164,4.5,4.0,3.0,4.5,3.75,0,0,0,0,0,0,1
165,4.5,4.0,3.0,4.5,3.75,1,0,1,0,0,0,1
166,4.5,4.0,3.0,4.5,3.75,2,2,0,1,0,0,0
167,4.5,4.0,3.0,4.5,3.75,1,1,1,1,1,1,1
168,4.5,4.0,3.0,4.5,3.75,0,1,0,0,0,0,0
169,4.5,4.0,3.0,4.5,3.75,2,4,1,2,3,3,1
170,4.5,4.0,3.0,4.5,3.75,6,1,3,0,0,0,0
171,4.3,2.15,3.6,3.3,4.1,0,0,0,0,0,0,0
172,4.3,2.15,3.6,3.3,4.1,0,1,0,0,0,0,0
173,4.3,2.15,3.6,3.3,4.1,5,5,1,1,1,1,1
174,4.3,2.15,3.6,3.3,4.1,0,1,0,0,0,0,0
175,4.3,2.15,3.6,3.3,4.1,0,0,0,0,0,0,0
176,4.3,2.15,3.6,3.3,4.1,0,0,0,0,0,0,0
177,4.3,2.15,3.6,3.3,4.1,1,2,1,1,1,1,1
178,4.3,2.15,3.6,3.3,4.1,0,1,0,1,0,0,1
179,4.3,2.15,3.6,3.3,4.1,0,2,0,0,0,0,0
180,4.3,2.15,3.6,3.3,4.1,2,1,0,0,0,0,0
181,4.3,2.15,3.6,3.3,4.1,0,2,0,1,1,1,0
182,4.3,2.15,3.6,3.3,4.1,1,1,1,0,1,0,0
183,4.3,2.15,3.6,3.3,4.1,1,0,1,0,0,0,0
184,4.3,2.15,3.6,3.3,4.1,0,0,0,0,0,0,0
185,4.3,2.15,3.6,3.3,4.1,1,0,1,0,0,0,0
186,4.3,2.15,3.6,3.3,4.1,0,2,0,0,0,0,0
187,4.3,2.15,3.6,3.3,4.1,1,0,0,0,0,0,0
188,4.3,2.15,3.6,3.3,4.1,0,0,0,0,0,0,0
189,4.3,2.15,3.6,3.3,4.1,2,0,1,1,1,0,1
190,4.3,2.15,3.6,3.3,4.1,3,0,3,0,0,0,3
191,4.3,2.15,3.6,3.3,4.1,0,1,0,1,0,0,0
192,4.3,2.15,3.6,3.3,4.1,0,0,0,0,0,0,0
193,4.3,2.15,3.6,3.3,4.1,0,0,0,0,0,0,0
194,4.3,2.15,3.6,3.3,4.1,2,1,1,1,0,0,1
195,4.3,2.15,3.6,3.3,4.1,0,1,0,1,1,1,0
196,4.3,2.15,3.6,3.3,4.1,0,2,0,0,0,0,0
197,4.3,2.15,3.6,3.3,4.1,2,1,1,1,1,1,1
198,4.3,2.15,3.6,3.3,4.1,1,1,1,0,0,0,0
199,4.3,2.15,3.6,3.3,4.1,1,1,1,1,1,1,1
200,4.3,2.15,3.6,3.3,4.1,1,0,1,0,0,0,0
201,4.3,2.15,3.6,3.3,4.1,3,4,2,3,1,2,2
202,4.3,2.15,3.6,3.3,4.1,6,0,2,0,0,0,2
203,4.3,2.15,3.6,3.3,4.1,3,1,2,1,1,1,2
204,4.3,2.15,3.6,3.3,4.1,6,4,4,1,2,2,2
205,4.3,2.15,3.6,3.3,4.1,1,1,1,0,0,1,0
206,4.3,2.15,3.6,3.3,4.1,1,1,0,0,0,0,0
207,4.3,2.15,3.6,3.3,4.1,3,2,2,0,0,0,1
208,4.3,2.15,3.6,3.3,4.1,1,1,1,0,0,0,0
209,4.3,2.15,3.6,3.3,4.1,1,2,0,1,0,0,0
210,4.3,2.15,3.6,3.3,4.1,5,3,2,1,1,3,1
211,4.3,2.15,3.6,3.3,4.1,1,0,0,0,0,0,0
212,4.3,2.15,3.6,3.3,4.1,0,0,0,0,0,0,0
213,4.3,2.15,3.6,3.3,4.1,1,2,1,2,1,1,2
214,4.3,2.15,3.6,3.3,4.1,1,1,0,1,0,0,0
215,4.3,2.15,3.6,3.3,4.1,1,2,1,2,0,0,0
216,4.3,2.15,3.6,3.3,4.1,0,1,0,1,0,0,1
217,4.3,2.15,3.6,3.3,4.1,0,3,0,1,1,1,2
218,4.3,2.15,3.6,3.3,4.1,1,3,0,1,0,0,1
219,4.3,2.15,3.6,3.3,4.1,3,1,3,0,1,0,2
220,4.3,2.15,3.6,3.3,4.1,2,0,1,0,0,0,0
221,4.3,2.15,3.6,3.3,4.1,0,0,0,0,0,0,0
222,4.3,2.15,3.6,3.3,4.1,2,4,0,0,1,0,1
223,4.3,2.15,3.6,3.3,4.1,0,0,0,1,0,0,0
224,4.3,2.15,3.6,3.3,4.1,3,0,2,0,0,0,1
225,4.3,2.15,3.6,3.3,4.1,1,0,1,0,0,0,0
226,4.3,2.15,3.6,3.3,4.1,1,1,1,0,0,0,1
227,4.3,2.15,3.6,3.3,4.1,1,0,1,0,0,0,1
228,4.3,2.15,3.6,3.3,4.1,6,1,0,0,1,0,2
229,4.3,2.15,3.6,3.3,4.1,0,0,0,0,0,0,0
230,4.3,2.15,3.6,3.3,4.1,1,1,1,0,0,0,1
231,4.3,2.15,3.6,3.3,4.1,2,0,2,0,0,0,2
232,4.3,2.15,3.6,3.3,4.1,0,1,0,0,0,0,0
233,4.3,2.15,3.6,3.3,4.1,3,1,2,0,0,0,0
234,4.3,2.15,3.6,3.3,4.1,4,3,3,0,2,0,3
235,4.3,2.15,3.6,3.3,4.1,1,3,0,0,1,0,0
236,4.65,3.2,3.05,3.65,4.75,1,1,1,0,0,0,1
237,4.65,3.2,3.05,3.65,4.75,1,0,1,0,0,0,1
238,4.65,3.2,3.05,3.65,4.75,1,0,1,0,0,0,0
239,4.65,3.2,3.05,3.65,4.75,1,0,1,0,0,0,0
240,4.65,3.2,3.05,3.65,4.75,0,1,0,0,0,1,0
241,4.65,3.2,3.05,3.65,4.75,3,0,2,0,0,0,1
242,4.65,3.2,3.05,3.65,4.75,0,0,0,0,0,0,0
243,4.65,3.2,3.05,3.65,4.75,1,0,1,0,0,1,1
244,4.65,3.2,3.05,3.65,4.75,0,1,0,0,0,0,0
245,4.65,3.2,3.05,3.65,4.75,2,0,2,0,0,0,1
246,3.7,2.9,3.4,3.35,4.05,2,0,2,0,0,0,1
247,3.7,2.9,3.4,3.35,4.05,4,0,2,0,0,0,1
248,3.7,2.9,3.4,3.35,4.05,0,0,0,0,0,0,0
249,3.7,2.9,3.4,3.35,4.05,0,0,0,0,0,0,1
250,3.7,2.9,3.4,3.35,4.05,3,1,2,0,0,0,1
251,3.7,2.9,3.4,3.35,4.05,0,1,0,1,1,0,0
252,3.7,2.9,3.4,3.35,4.05,1,0,1,0,0,0,1
253,3.7,2.9,3.4,3.35,4.05,1,0,0,0,0,0,0
254,3.7,2.9,3.4,3.35,4.05,3,0,3,0,0,0,0
255,3.7,2.9,3.4,3.35,4.05,0,1,0,0,1,0,0
256,3.7,2.9,3.4,3.35,4.05,0,1,0,1,1,0,0
257,3.7,2.9,3.4,3.35,4.05,1,0,1,0,0,0,0
258,3.7,2.9,3.4,3.35,4.05,0,1,0,0,0,0,0
259,3.7,2.9,3.4,3.35,4.05,1,4,0,2,0,0,0
260,3.7,2.9,3.4,3.35,4.05,6,0,0,0,0,0,0
261,3.7,2.9,3.4,3.35,4.05,1,0,0,0,0,0,0
262,3.7,2.9,3.4,3.35,4.05,2,1,2,1,1,1,4
263,3.7,2.9,3.4,3.35,4.05,1,0,0,0,0,0,0
264,3.7,2.9,3.4,3.35,4.05,0,1,0,1,0,1,0
265,3.7,2.9,3.4,3.35,4.05,0,0,0,0,0,0,0
266,3.7,2.9,3.4,3.35,4.05,0,1,0,1,1,0,0
267,3.7,2.9,3.4,3.35,4.05,0,0,0,0,0,0,0
268,3.7,2.9,3.4,3.35,4.05,0,1,0,0,0,0,0
269,3.7,2.9,3.4,3.35,4.05,0,0,0,0,0,0,0
270,3.7,2.9,3.4,3.35,4.05,1,0,0,0,0,0,1
271,3.7,2.9,3.4,3.35,4.05,0,0,0,0,0,0,1
272,3.7,2.9,3.4,3.35,4.05,1,0,1,0,0,0,0
273,3.7,2.9,3.4,3.35,4.05,0,0,0,0,0,0,1
274,3.7,2.9,3.4,3.35,4.05,1,1,1,1,1,1,1
275,3.7,2.9,3.4,3.35,4.05,1,0,0,1,1,0,0
276,3.7,2.9,3.4,3.35,4.05,0,0,0,0,0,0,1
277,3.7,2.9,3.4,3.35,4.05,0,1,0,1,0,1,0
278,3.7,2.9,3.4,3.35,4.05,0,0,0,0,0,0,0
279,3.7,2.9,3.4,3.35,4.05,1,0,1,0,0,0,0
280,3.7,2.9,3.4,3.35,4.05,2,1,2,1,1,1,1
281,3.7,2.9,3.4,3.35,4.05,2,0,2,0,0,0,1
282,3.7,2.9,3.4,3.35,4.05,1,0,1,0,0,0,1
283,3.7,2.9,3.4,3.35,4.05,1,0,1,0,0,0,1
284,3.7,2.9,3.4,3.35,4.05,1,0,1,0,0,0,0
285,3.7,2.9,3.4,3.35,4.05,0,0,0,0,0,0,0
286,3.45,2.85,2.8,2.7,4.15,6,5,2,0,0,2,2
287,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
288,3.45,2.85,2.8,2.7,4.15,2,2,0,1,1,1,0
289,3.45,2.85,2.8,2.7,4.15,0,1,0,0,1,0,0
290,3.45,2.85,2.8,2.7,4.15,2,2,2,0,1,0,1
291,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
292,3.45,2.85,2.8,2.7,4.15,1,0,1,0,1,0,1
293,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
294,3.45,2.85,2.8,2.7,4.15,0,1,0,0,2,0,0
295,3.45,2.85,2.8,2.7,4.15,0,2,0,1,2,1,0
296,3.45,2.85,2.8,2.7,4.15,2,0,0,0,0,0,0
297,3.45,2.85,2.8,2.7,4.15,1,1,1,0,0,1,1
298,3.45,2.85,2.8,2.7,4.15,0,1,0,0,1,0,0
299,3.45,2.85,2.8,2.7,4.15,2,2,0,1,1,0,0
300,3.45,2.85,2.8,2.7,4.15,0,1,0,0,0,0,0
301,3.45,2.85,2.8,2.7,4.15,7,1,0,0,2,1,2
302,3.45,2.85,2.8,2.7,4.15,1,0,1,0,0,0,0
303,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
304,3.45,2.85,2.8,2.7,4.15,0,2,0,1,0,1,1
305,3.45,2.85,2.8,2.7,4.15,0,2,0,0,0,2,0
306,3.45,2.85,2.8,2.7,4.15,0,1,0,0,0,0,0
307,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
308,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
309,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
310,3.45,2.85,2.8,2.7,4.15,8,7,4,0,1,2,1
311,3.45,2.85,2.8,2.7,4.15,0,1,0,1,1,0,1
312,3.45,2.85,2.8,2.7,4.15,4,5,3,0,0,0,3
313,3.45,2.85,2.8,2.7,4.15,2,1,0,0,0,0,0
314,3.45,2.85,2.8,2.7,4.15,0,1,0,1,0,0,0
315,3.45,2.85,2.8,2.7,4.15,3,10,0,3,3,3,1
316,3.45,2.85,2.8,2.7,4.15,4,2,2,2,1,0,2
317,3.45,2.85,2.8,2.7,4.15,5,5,2,1,0,0,2
318,3.45,2.85,2.8,2.7,4.15,1,0,1,0,0,0,0
319,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
320,3.45,2.85,2.8,2.7,4.15,2,6,1,2,1,0,1
321,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
322,3.45,2.85,2.8,2.7,4.15,5,6,0,3,2,1,2
323,3.45,2.85,2.8,2.7,4.15,0,1,0,0,0,0,0
324,3.45,2.85,2.8,2.7,4.15,0,4,0,1,0,0,0
325,3.45,2.85,2.8,2.7,4.15,1,0,0,0,0,0,0
326,3.45,2.85,2.8,2.7,4.15,1,0,1,0,0,0,1
327,3.45,2.85,2.8,2.7,4.15,4,6,2,4,2,1,0
328,3.45,2.85,2.8,2.7,4.15,0,2,0,0,0,0,0
329,3.45,2.85,2.8,2.7,4.15,0,2,0,0,0,0,0
330,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
331,3.45,2.85,2.8,2.7,4.15,3,2,1,1,1,0,2
332,3.45,2.85,2.8,2.7,4.15,0,1,0,1,0,1,0
333,3.45,2.85,2.8,2.7,4.15,2,0,1,0,0,0,0
334,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
335,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
336,3.45,2.85,2.8,2.7,4.15,0,3,0,0,0,1,1
337,3.45,2.85,2.8,2.7,4.15,0,1,0,1,0,0,0
338,3.45,2.85,2.8,2.7,4.15,9,2,1,1,2,1,2
339,3.45,2.85,2.8,2.7,4.15,2,1,0,0,0,0,1
340,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
341,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
342,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
343,3.45,2.85,2.8,2.7,4.15,0,1,0,0,0,0,0
344,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
345,3.45,2.85,2.8,2.7,4.15,1,1,1,0,0,1,0
346,3.45,2.85,2.8,2.7,4.15,3,0,0,0,1,0,0
347,3.45,2.85,2.8,2.7,4.15,1,1,0,0,0,0,0
348,3.45,2.85,2.8,2.7,4.15,3,1,2,0,0,0,1
349,3.45,2.85,2.8,2.7,4.15,0,1,0,0,2,0,0
350,3.45,2.85,2.8,2.7,4.15,1,1,0,0,1,0,0
351,3.45,2.85,2.8,2.7,4.15,0,1,0,0,0,0,0
352,3.45,2.85,2.8,2.7,4.15,2,0,0,0,0,0,0
353,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
354,3.45,2.85,2.8,2.7,4.15,1,0,0,0,0,0,0
355,3.45,2.85,2.8,2.7,4.15,0,0,0,0,0,0,0
356,3.45,2.85,2.8,2.7,4.15,2,0,1,0,0,0,1
357,3.45,2.85,2.8,2.7,4.15,1,0,0,0,0,0,0
358,3.45,2.85,2.8,2.7,4.15,1,1,0,0,0,0,2
359,3.15,1.9,4.15,4.0,3.55,2,0,2,0,1,0,2
360,3.15,1.9,4.15,4.0,3.55,0,0,0,0,1,0,0
361,3.15,1.9,4.15,4.0,3.55,0,1,0,0,0,0,0
362,3.15,1.9,4.15,4.0,3.55,0,2,0,2,2,2,0
363,3.15,1.9,4.15,4.0,3.55,1,0,0,2,2,1,0
364,3.15,1.9,4.15,4.0,3.55,2,1,0,0,0,0,1
365,3.15,1.9,4.15,4.0,3.55,1,0,1,0,0,0,1
366,3.15,1.9,4.15,4.0,3.55,1,0,0,1,1,0,0
367,3.15,1.9,4.15,4.0,3.55,1,2,0,1,0,0,0
368,3.15,1.9,4.15,4.0,3.55,1,1,1,0,0,0,1
369,3.15,1.9,4.15,4.0,3.55,2,1,1,0,0,0,1
370,3.15,1.9,4.15,4.0,3.55,2,1,1,0,0,0,1
371,3.15,1.9,4.15,4.0,3.55,0,0,0,0,0,0,0
372,3.15,1.9,4.15,4.0,3.55,1,1,0,0,0,0,1
373,3.15,1.9,4.15,4.0,3.55,3,0,2,2,1,1,1
374,3.15,1.9,4.15,4.0,3.55,2,0,1,0,0,0,1
375,3.15,1.9,4.15,4.0,3.55,0,0,0,0,0,0,0
376,3.15,1.9,4.15,4.0,3.55,1,0,1,0,0,0,1
377,3.15,1.9,4.15,4.0,3.55,0,0,0,0,0,0,1
378,3.15,1.9,4.15,4.0,3.55,1,1,1,0,0,0,2
379,3.15,1.9,4.15,4.0,3.55,1,1,1,0,0,0,0
380,3.15,1.9,4.15,4.0,3.55,0,0,0,0,0,0,0
381,3.15,1.9,4.15,4.0,3.55,1,0,0,0,0,0,0
382,3.15,1.9,4.15,4.0,3.55,1,1,1,1,1,0,0
383,3.15,1.9,4.15,4.0,3.55,1,0,0,0,0,0,0
384,3.15,1.9,4.15,4.0,3.55,0,0,0,0,1,0,0
385,3.15,1.9,4.15,4.0,3.55,0,1,0,0,0,0,1
